# ACTS Test Suite Generation: Thu Jul 22 15:09:57 JST 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 16
# Maximum number of values per parameter: 200
# Number of configurations: 20015
a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p
9,1,2,1,0,106,1,0,0,17,2,74,36,0,1,2
2,8,1,2,1,106,0,0,1,9,3,75,25,1,1,3
3,6,1,1,1,106,0,0,1,2,7,76,2,1,1,3
1,1,1,1,1,106,1,0,2,20,0,77,33,0,1,3
6,8,0,3,0,106,1,0,2,26,9,78,30,0,0,1
5,10,1,3,0,106,0,0,2,19,8,79,23,1,1,2
7,10,1,3,0,106,0,0,2,28,7,80,4,1,0,3
6,4,0,0,0,106,0,0,1,1,0,81,58,0,0,0
6,0,2,2,1,106,1,1,2,21,2,82,43,1,0,3
1,10,1,1,1,106,0,1,2,24,11,83,11,1,1,0
3,5,1,2,1,106,0,0,2,15,4,84,22,0,0,2
1,2,0,2,1,106,0,0,1,14,3,85,34,0,1,3
6,6,0,3,0,106,0,0,0,22,5,86,44,0,1,2
6,6,2,3,1,106,0,0,1,13,0,87,20,1,0,2
7,9,2,1,0,106,1,0,0,1,10,88,6,1,1,0
5,2,1,2,1,106,0,1,2,23,5,89,6,1,1,1
3,4,0,2,0,106,0,0,1,30,7,90,46,0,1,3
5,2,1,3,1,106,0,1,0,22,5,91,1,0,0,0
6,1,0,2,1,106,0,1,1,8,1,92,41,0,1,3
9,6,0,1,0,106,0,1,0,27,11,93,13,0,0,0
9,2,0,2,0,106,1,1,2,29,5,94,23,1,0,3
3,7,2,3,1,106,0,1,1,5,10,95,19,0,0,2
9,3,2,1,0,106,1,1,2,3,5,96,15,1,1,2
5,6,1,2,1,106,0,0,2,24,9,97,9,1,1,2
4,0,1,3,0,106,1,1,0,27,5,98,46,0,1,3
5,4,2,1,1,106,0,1,0,1,10,99,30,1,1,1
9,4,2,3,1,107,1,0,1,24,6,0,5,1,0,3
2,10,0,2,0,107,0,1,2,25,9,1,6,0,1,1
6,11,1,0,0,107,0,0,0,26,10,2,7,1,1,2
7,0,0,1,1,107,1,0,2,28,11,3,8,1,0,0
8,2,2,0,1,107,0,1,1,30,0,4,9,1,0,0
1,3,0,1,1,107,0,1,2,1,3,5,10,1,1,2
4,5,1,1,0,107,1,0,0,2,5,6,11,0,1,3
5,6,0,2,1,107,0,0,1,3,7,7,12,0,0,3
3,8,0,0,0,107,0,0,0,4,8,8,13,1,1,1
9,9,0,0,0,107,0,1,0,9,1,9,14,0,0,3
7,1,1,1,0,107,0,0,1,12,2,10,15,0,1,3
2,7,1,0,0,107,1,0,2,13,4,11,16,1,0,2
5,3,0,2,1,107,0,1,0,14,3,12,17,0,1,0
3,7,0,1,1,107,1,0,1,15,11,13,18,1,1,2
1,11,0,3,0,107,0,1,1,16,1,14,19,0,1,1
2,4,0,0,0,107,0,0,0,17,7,15,20,1,1,2
2,3,1,1,0,107,1,0,2,18,8,16,21,1,1,2
6,10,0,3,0,107,0,0,0,19,10,17,22,1,0,3
4,0,0,3,1,107,0,0,2,20,9,18,23,0,0,0
5,10,1,2,0,107,1,1,1,21,1,19,24,0,1,3
1,9,2,0,0,107,0,0,2,23,9,20,25,0,1,2
4,5,2,1,1,107,0,1,2,27,7,21,26,1,1,1
1,3,0,2,1,107,0,1,2,29,9,22,27,0,0,0
1,0,1,0,1,107,0,1,2,31,6,23,28,0,1,1
2,5,0,0,0,107,1,1,0,5,11,24,29,0,0,1
8,7,2,1,0,107,0,0,0,6,5,25,30,0,1,1
1,4,1,0,1,107,0,1,2,7,11,26,31,1,0,1
8,0,1,0,1,107,1,0,1,8,1,27,32,0,0,3
2,3,1,0,1,107,1,0,1,10,0,28,33,0,0,1
2,8,2,2,0,107,0,0,1,11,5,29,34,0,0,1
1,3,1,3,0,107,1,1,2,22,9,30,35,0,0,2
6,3,2,0,1,107,1,1,1,25,6,31,36,1,0,3
7,2,1,3,0,107,0,1,2,5,8,32,37,0,0,0
5,11,2,0,1,107,1,0,1,16,4,33,38,0,1,2
6,2,2,1,1,107,1,1,1,21,11,34,39,0,1,2
1,2,1,3,1,107,0,0,1,22,5,35,41,0,1,0
4,7,0,1,0,107,0,1,0,20,11,36,43,0,1,1
5,1,1,3,1,107,0,1,2,19,10,37,44,0,1,0
8,1,2,2,1,107,1,0,1,11,2,38,46,0,0,1
3,0,1,0,1,107,1,1,2,25,7,39,50,1,0,3
3,10,0,1,0,107,0,1,2,11,0,40,51,1,0,0
8,9,0,2,0,107,0,0,1,15,5,41,55,1,1,3
9,2,2,0,0,107,1,0,0,26,6,42,58,1,1,1
5,1,1,3,1,107,1,1,1,16,4,43,63,1,1,3
6,8,0,3,0,107,0,0,0,21,9,44,1,0,1,2
7,8,1,3,1,107,1,0,0,13,10,45,2,1,1,2
3,6,2,3,1,107,0,0,0,24,1,46,3,1,1,1
8,10,0,3,1,107,0,1,0,4,6,47,4,0,1,2
6,0,1,1,1,107,1,1,1,22,10,48,38,1,0,3
6,4,2,0,0,107,0,1,0,24,0,49,33,0,1,0
7,2,0,2,1,107,1,1,2,28,3,50,51,0,1,2
7,9,0,2,0,107,0,0,1,18,11,51,20,1,1,2
3,7,2,0,1,107,1,1,0,16,9,52,15,0,0,2
8,9,0,0,0,107,1,0,0,22,10,53,39,1,1,3
9,8,2,0,1,107,1,1,2,23,6,54,35,1,0,1
4,1,2,1,0,107,1,1,0,25,0,55,44,1,0,3
4,1,0,1,1,107,0,1,0,25,7,56,7,0,0,0
1,0,2,0,0,107,0,0,1,29,7,57,58,1,0,1
6,11,0,2,1,107,1,1,0,23,6,58,19,1,0,1
6,8,0,1,0,107,0,1,1,12,4,59,14,1,0,1
8,9,2,1,0,107,0,0,2,27,9,60,20,1,0,3
4,6,0,0,1,107,1,0,2,17,7,61,29,0,0,0
2,7,1,0,0,107,0,1,0,7,10,62,11,0,1,3
8,4,0,0,0,107,1,1,2,3,5,63,38,0,0,0
8,2,0,0,1,107,1,0,2,6,7,64,51,0,1,0
7,8,0,0,0,107,1,0,0,26,8,65,43,1,0,3
9,2,1,0,1,107,1,1,0,22,9,66,29,0,1,1
8,6,0,0,1,107,1,1,2,24,11,67,43,0,1,2
7,1,2,3,0,107,0,1,0,12,0,68,12,0,0,2
6,7,1,2,0,107,1,1,0,7,11,69,46,1,1,2
9,0,0,2,1,107,0,1,0,13,9,70,26,0,0,0
4,10,0,0,1,107,0,1,0,11,2,71,17,1,0,1
1,6,2,0,1,107,1,0,1,31,8,72,14,0,1,3
5,0,0,3,0,107,0,0,1,25,11,73,13,0,0,1
7,5,0,3,0,107,0,0,1,21,8,74,41,0,1,1
4,11,0,0,0,107,1,1,2,20,3,75,43,1,1,3
4,10,1,1,1,107,0,0,1,14,5,76,32,0,0,2
3,4,0,1,1,107,0,0,2,18,11,77,27,1,1,1
8,1,2,0,0,107,1,1,1,12,6,78,58,0,1,3
6,6,2,0,1,107,0,0,1,10,11,79,55,0,1,3
9,8,0,3,0,107,0,0,1,1,10,80,18,1,1,3
5,11,0,1,0,107,0,0,1,16,4,81,20,1,0,1
6,5,1,1,1,107,0,1,2,29,1,82,38,1,1,1
9,6,1,1,1,107,1,1,2,29,1,83,16,0,0,1
6,4,2,0,0,107,0,0,0,29,7,84,38,1,1,1
9,0,1,3,0,107,1,0,2,24,5,85,41,0,0,3
3,3,1,0,1,107,1,0,1,2,5,86,9,0,0,0
8,4,0,1,1,107,1,1,0,18,0,87,1,0,1,3
9,5,1,0,1,107,0,0,2,30,3,88,16,1,1,3
4,10,0,0,1,107,0,0,0,2,10,89,46,1,0,1
6,2,2,3,1,107,1,1,0,11,6,90,20,0,1,1
8,7,1,0,0,107,0,1,2,23,3,91,19,0,1,3
8,9,2,3,0,107,0,1,0,15,7,92,22,1,0,2
6,6,0,1,1,107,1,1,0,12,9,93,58,0,1,0
6,0,0,2,0,107,0,0,1,16,9,94,8,0,1,3
3,3,2,2,1,107,1,1,1,18,5,95,29,1,0,0
9,0,1,1,1,107,0,0,1,4,1,96,16,0,1,1
7,10,0,1,0,107,0,0,0,18,9,97,13,0,1,3
4,9,1,3,0,107,1,1,1,18,8,98,4,0,0,0
2,1,1,0,0,107,0,1,2,7,10,99,37,1,1,0
9,10,2,3,1,108,1,0,1,24,6,0,5,1,0,3
2,11,0,2,0,108,0,1,2,25,9,1,6,0,1,1
6,0,1,0,0,108,0,1,0,26,10,2,7,1,0,2
7,4,0,1,0,108,0,0,0,28,11,3,8,1,0,0
8,5,0,0,1,108,0,0,0,30,0,4,9,1,0,3
1,6,1,2,1,108,0,0,2,1,3,5,10,1,0,3
4,8,1,3,0,108,1,1,0,2,5,6,11,1,0,1
5,9,1,0,1,108,0,1,1,3,7,7,12,0,1,0
3,2,1,2,1,108,1,0,0,4,8,8,13,0,1,0
2,3,2,0,1,108,0,0,2,9,1,9,14,1,0,0
8,7,2,2,1,108,1,0,2,12,2,10,15,0,1,3
1,1,2,0,0,108,1,0,1,13,4,11,16,0,1,2
4,1,2,3,1,108,0,1,2,14,10,12,17,1,1,3
3,4,1,0,0,108,1,0,1,15,4,13,18,1,1,2
1,9,2,1,1,108,0,1,2,16,6,14,19,1,1,0
5,9,2,2,0,108,0,0,0,17,0,15,20,1,0,3
4,8,2,1,0,108,1,1,2,18,6,16,21,1,1,1
7,0,0,3,0,108,1,1,0,19,10,17,22,1,1,2
8,0,2,1,0,108,0,1,0,20,8,18,23,1,1,3
9,2,0,2,1,108,1,0,2,21,9,19,24,1,1,2
4,7,1,3,1,108,0,1,1,23,5,20,25,1,0,3
8,4,0,2,1,108,0,0,0,27,2,21,26,1,1,2
4,3,1,1,0,108,1,0,0,29,1,22,27,1,1,1
6,3,2,1,1,108,0,0,2,31,9,23,28,0,0,0
8,10,1,1,0,108,1,0,2,5,8,24,29,0,0,1
3,9,2,2,0,108,0,0,1,6,2,25,30,0,0,3
6,2,2,2,0,108,0,1,0,7,9,26,31,0,1,2
1,1,1,3,1,108,0,0,2,8,2,27,32,1,0,0
3,4,1,3,0,108,0,0,1,10,1,28,33,1,1,2
2,10,0,0,0,108,0,0,0,11,8,29,34,0,0,0
3,3,0,3,1,108,1,0,0,22,2,30,35,0,0,2
9,1,2,0,1,108,0,1,1,21,6,31,36,1,0,2
6,3,2,0,0,108,1,1,1,14,11,32,37,1,1,0
4,7,1,3,1,108,1,1,1,25,11,33,38,0,1,3
3,11,0,2,1,108,1,1,0,19,0,34,39,0,1,2
4,0,2,3,1,108,0,0,0,23,11,35,41,1,1,2
5,11,1,2,1,108,1,0,1,23,6,36,43,0,0,3
3,1,1,1,0,108,1,0,1,11,11,37,44,0,0,0
8,3,0,2,1,108,0,1,0,8,11,38,46,0,1,2
1,2,2,0,0,108,0,0,1,26,6,39,50,0,0,0
4,7,1,3,0,108,1,0,0,17,7,40,51,1,0,2
4,8,1,0,0,108,1,0,2,3,10,41,55,0,1,1
2,0,1,2,0,108,1,0,1,22,10,42,58,1,0,3
4,5,2,1,1,108,0,0,0,9,5,43,63,0,1,3
8,6,1,0,1,108,0,1,2,31,9,44,1,0,1,2
9,5,1,2,1,108,0,1,1,20,11,45,2,1,1,2
3,9,2,3,0,108,0,1,2,11,8,46,3,0,1,2
9,7,0,1,0,108,0,1,0,13,0,47,4,1,0,3
9,10,2,1,0,108,1,0,2,4,1,48,33,0,0,1
7,9,0,0,0,108,0,1,0,25,7,49,46,1,1,2
9,4,2,2,1,108,1,0,0,31,7,50,43,1,1,0
8,8,0,2,1,108,1,0,0,3,10,51,2,0,0,3
5,0,1,0,1,108,0,1,2,16,8,52,26,0,0,2
1,5,0,0,0,108,0,0,0,16,8,53,34,1,0,2
7,1,0,0,1,108,0,0,1,17,11,54,34,0,0,3
1,11,2,2,1,108,1,1,1,23,7,55,34,0,1,1
9,10,0,1,0,108,0,1,1,7,3,56,33,1,1,1
1,3,1,3,1,108,1,1,1,11,6,57,58,0,0,2
8,11,2,0,1,108,0,1,0,4,6,58,38,0,0,2
7,9,0,1,0,108,0,1,1,30,2,59,38,1,0,1
4,5,2,2,0,108,1,0,2,5,3,60,31,1,1,3
2,10,0,2,1,108,1,0,1,10,1,61,26,0,1,0
7,5,0,3,0,108,0,0,2,18,3,62,6,1,1,0
2,5,1,0,0,108,0,1,1,23,2,63,24,0,0,3
6,10,2,2,1,108,1,0,1,7,10,64,32,0,0,3
7,9,1,3,0,108,1,0,0,23,1,65,30,1,1,1
4,7,0,3,1,108,0,0,1,6,1,66,41,1,0,0
2,5,2,3,0,108,0,0,1,20,6,67,3,1,0,1
5,0,2,3,0,108,0,1,2,5,5,68,2,1,1,2
4,11,1,1,0,108,1,0,1,25,2,69,24,0,0,0
5,8,2,0,1,108,0,0,2,2,2,70,19,1,0,0
1,6,2,3,1,108,1,1,0,23,2,71,37,0,0,0
1,4,0,3,1,108,1,1,0,23,11,72,21,0,1,2
1,10,0,0,1,108,1,0,2,13,9,73,22,0,1,2
6,11,2,3,1,108,0,0,0,23,10,74,17,0,0,3
6,7,1,1,0,108,0,1,1,18,0,75,12,1,1,1
7,2,1,3,0,108,1,0,2,26,0,76,28,0,1,0
9,7,0,0,1,108,1,1,1,28,1,77,8,1,1,3
1,5,2,2,0,108,0,1,1,24,2,78,46,1,1,1
1,5,1,0,0,108,0,0,1,25,1,79,46,1,0,1
7,0,0,0,1,108,1,0,0,25,7,80,44,0,1,3
1,2,0,2,0,108,1,0,2,2,7,81,1,0,1,0
1,4,2,0,0,108,1,1,1,20,10,82,14,1,1,2
2,10,2,0,1,108,1,0,1,11,6,83,4,1,1,1
7,9,2,2,1,108,1,0,0,17,0,84,36,0,1,0
7,1,2,0,0,108,0,0,2,12,6,85,6,0,1,2
7,8,0,2,1,108,0,0,0,26,9,86,11,0,0,0
4,10,0,3,0,108,0,1,1,17,8,87,30,1,0,1
8,2,2,2,1,108,1,0,2,30,4,88,20,0,0,1
8,1,0,3,0,108,1,0,0,12,8,89,28,0,0,0
3,8,1,0,0,108,0,0,1,29,8,90,17,1,0,3
3,7,0,0,0,108,1,1,2,12,5,91,32,1,0,1
2,11,1,2,1,108,1,0,1,8,9,92,18,1,1,2
3,10,0,3,0,108,1,1,2,29,0,93,28,0,1,3
6,9,0,1,1,108,0,0,0,22,3,94,19,1,0,3
8,7,0,2,0,108,0,0,1,18,5,95,34,0,0,1
7,6,2,2,0,108,1,0,0,9,7,96,46,0,0,3
9,5,2,2,1,108,1,1,1,26,3,97,17,0,1,3
1,0,1,3,1,108,1,1,0,27,1,98,23,0,0,1
5,1,2,0,1,108,1,0,1,31,11,99,17,0,1,1
9,4,2,3,1,109,1,0,1,24,6,0,5,1,0,3
2,10,0,2,0,109,0,1,2,25,9,1,6,0,1,1
6,11,1,0,1,109,1,0,0,26,10,2,7,1,0,2
7,0,0,1,1,109,0,1,2,28,11,3,8,0,0,0
8,2,0,2,1,109,1,1,2,30,0,4,9,1,0,3
1,3,2,0,1,109,1,0,0,1,3,5,10,1,1,0
4,5,0,1,0,109,1,1,1,2,5,6,11,0,0,2
5,6,0,2,1,109,1,1,1,3,7,7,12,1,1,0
3,8,0,1,0,109,1,0,2,4,8,8,13,0,1,3
2,9,2,1,1,109,0,1,2,9,1,9,14,1,1,3
9,1,0,3,0,109,1,0,1,12,2,10,15,0,0,2
5,7,1,0,0,109,0,0,0,13,4,11,16,1,1,1
6,1,2,1,0,109,0,0,1,14,0,12,17,1,0,2
1,10,0,3,0,109,0,1,1,15,3,13,18,1,1,1
8,3,2,1,0,109,1,0,1,16,7,14,19,1,1,1
1,11,1,0,1,109,0,1,2,17,3,15,20,0,0,2
6,7,1,1,0,109,1,0,2,18,3,16,21,0,0,3
8,4,0,2,0,109,1,0,1,19,6,17,22,1,0,0
3,4,0,2,1,109,1,1,0,20,9,18,23,0,1,2
5,10,1,0,1,109,1,1,0,21,5,19,24,0,0,1
5,11,0,2,0,109,1,0,2,23,1,20,25,1,1,1
6,2,0,1,1,109,0,1,0,27,10,21,26,0,0,3
6,10,2,3,0,109,1,1,2,29,10,22,27,0,1,0
5,7,0,3,1,109,0,0,2,31,0,23,28,1,0,1
6,8,2,0,1,109,0,0,2,5,0,24,29,0,0,0
7,9,0,0,0,109,1,0,2,6,6,25,30,0,0,2
7,9,1,1,1,109,1,1,2,7,3,26,31,1,0,2
1,10,2,2,1,109,0,1,2,8,1,27,32,0,0,1
8,1,1,2,1,109,1,1,0,10,3,28,33,0,1,1
6,1,1,0,0,109,1,0,2,11,11,29,34,0,1,3
4,5,2,3,0,109,0,0,0,22,7,30,35,0,1,2
2,3,1,0,0,109,0,0,2,15,8,31,36,1,0,3
3,7,1,1,0,109,0,0,0,16,2,32,37,0,1,0
6,11,0,3,1,109,1,0,0,17,5,33,38,0,1,3
9,8,1,2,0,109,1,1,1,14,7,34,39,1,0,2
8,0,1,3,1,109,1,1,2,24,10,35,41,1,0,3
3,10,1,0,0,109,0,0,0,6,6,36,43,1,1,1
9,5,0,2,0,109,1,1,1,9,0,37,44,1,0,3
6,5,2,2,1,109,0,0,1,19,8,38,46,0,0,0
9,5,2,3,1,109,0,0,1,3,3,39,50,0,0,2
9,0,0,1,1,109,1,1,1,2,5,40,51,0,1,0
4,10,2,3,0,109,1,1,1,8,8,41,55,0,0,2
9,9,0,1,1,109,1,0,0,11,9,42,58,0,1,3
3,4,1,2,0,109,0,0,0,11,8,43,63,0,1,0
1,3,2,3,1,109,1,1,2,7,9,44,1,1,1,0
1,7,1,2,0,109,1,0,1,23,2,45,2,0,1,0
2,6,2,2,0,109,1,1,2,9,5,46,3,1,1,3
2,6,0,1,1,109,1,0,1,12,0,47,4,1,1,0
2,0,0,0,1,109,1,0,1,1,2,48,51,0,0,1
8,10,1,1,0,109,0,0,2,14,11,49,41,1,0,3
3,8,2,3,0,109,1,1,0,29,5,50,58,0,1,1
5,4,2,0,0,109,1,0,2,24,11,51,16,1,1,3
5,6,2,3,1,109,1,0,2,27,0,52,25,0,0,2
8,2,0,3,1,109,1,0,0,10,9,53,51,0,1,3
8,3,2,1,1,109,0,0,1,16,0,54,34,1,1,3
5,1,2,0,0,109,0,1,0,28,5,55,28,1,1,3
4,2,0,2,1,109,1,1,2,18,0,56,10,0,1,1
5,5,0,2,0,109,0,1,1,26,2,57,20,0,1,3
6,9,2,3,1,109,0,1,0,31,8,58,43,1,1,0
5,7,0,3,1,109,0,0,2,23,11,59,44,1,1,0
3,5,0,2,0,109,0,0,1,25,11,60,29,0,1,2
4,10,2,0,1,109,1,0,2,15,8,61,26,0,1,3
6,0,1,3,0,109,0,1,0,8,5,62,9,0,0,3
7,3,1,2,0,109,1,1,2,9,7,63,8,0,0,3
2,0,0,0,0,109,1,1,0,29,11,64,34,0,0,0
3,5,0,3,1,109,1,0,1,5,4,65,13,0,1,1
1,10,0,2,1,109,1,0,1,21,8,66,50,0,0,3
1,8,1,3,1,109,1,1,0,23,2,67,36,0,1,0
6,10,1,3,1,109,1,1,2,25,7,68,46,1,1,0
7,6,0,2,0,109,1,1,1,14,3,69,51,0,1,1
3,4,1,1,1,109,1,0,1,19,7,70,29,0,1,3
3,3,1,0,0,109,0,0,0,14,0,71,33,1,0,1
5,8,2,2,1,109,0,0,1,8,6,72,28,0,1,0
4,3,0,1,1,109,0,0,2,15,6,73,50,0,0,2
3,7,0,3,0,109,0,1,1,29,9,74,43,1,0,3
8,2,0,1,1,109,0,0,2,22,8,75,18,0,1,3
8,10,0,3,0,109,0,0,1,14,4,76,11,0,1,0
7,0,0,0,0,109,0,1,0,5,2,77,16,1,0,0
1,9,2,1,0,109,1,1,2,15,7,78,55,1,0,2
8,4,0,0,0,109,0,1,2,30,1,79,12,0,0,2
8,1,1,3,1,109,0,1,0,16,1,80,16,0,0,0
7,11,0,1,1,109,1,0,0,30,2,81,15,0,1,0
4,0,1,1,0,109,1,1,0,15,2,82,30,1,1,2
3,2,2,2,1,109,1,1,1,9,11,83,39,0,1,2
3,10,1,1,1,109,0,1,1,5,5,84,36,1,0,1
1,9,1,0,0,109,1,1,0,29,1,85,17,1,0,2
9,8,1,2,0,109,0,1,2,17,7,86,27,0,1,1
4,7,0,1,0,109,1,0,2,21,9,87,12,0,1,3
3,8,0,3,0,109,1,1,1,24,3,88,5,0,0,1
7,2,2,3,0,109,1,1,1,18,4,89,17,0,1,2
2,0,0,1,0,109,1,0,2,27,3,90,11,1,1,2
8,11,0,3,0,109,1,1,2,29,9,91,6,0,1,1
7,8,2,3,0,109,1,1,2,26,7,92,15,0,1,3
3,11,0,0,1,109,1,1,1,10,3,93,10,0,1,1
2,8,2,3,0,109,0,0,0,11,1,94,37,1,1,2
2,10,2,3,0,109,1,1,2,26,11,95,19,0,0,1
9,3,0,0,1,109,1,1,1,14,9,96,3,1,1,3
1,9,0,3,1,109,1,0,1,21,9,97,50,0,1,1
7,6,0,3,1,109,1,0,0,31,11,98,17,0,1,1
7,8,1,1,1,109,1,1,0,24,11,99,3,1,0,1
9,10,2,3,1,110,1,0,1,24,6,0,5,1,0,3
2,11,0,2,0,110,0,1,2,25,9,1,6,0,1,1
6,0,1,0,1,110,1,0,0,26,10,2,7,0,0,2
7,4,1,1,1,110,1,1,1,28,11,3,8,0,0,0
8,5,0,0,1,110,1,1,1,30,0,4,9,1,0,0
1,6,0,0,0,110,0,1,2,1,3,5,10,0,1,3
4,8,2,2,0,110,0,0,0,2,5,6,11,0,0,2
5,9,1,2,1,110,1,1,1,3,7,7,12,1,0,1
3,2,1,0,0,110,1,0,0,4,8,8,13,1,0,0
6,3,2,2,1,110,0,1,1,9,1,9,14,1,0,3
8,7,1,0,1,110,1,1,0,12,2,10,15,1,1,1
6,1,2,3,1,110,1,0,2,13,4,11,16,0,0,3
5,5,0,3,0,110,0,0,1,14,3,12,17,1,1,0
7,9,2,2,1,110,0,1,0,15,1,13,18,1,1,3
9,6,0,0,0,110,1,1,1,16,1,14,19,0,0,1
9,5,2,0,0,110,0,1,1,17,11,15,20,1,0,3
4,9,2,3,1,110,1,0,0,18,0,16,21,0,0,2
1,2,1,2,0,110,1,0,0,19,6,17,22,1,0,3
7,5,1,1,1,110,0,0,0,20,4,18,23,1,0,1
7,9,2,0,0,110,0,1,0,21,2,19,24,1,1,1
2,1,1,2,0,110,1,1,2,23,3,20,25,0,1,2
7,0,2,3,0,110,0,0,1,27,8,21,26,0,1,3
1,10,2,0,1,110,1,0,0,29,1,22,27,0,0,2
4,10,0,1,1,110,1,0,1,31,8,23,28,1,1,0
4,3,2,0,0,110,1,0,2,5,2,24,29,0,0,2
9,5,0,0,1,110,1,0,2,6,9,25,30,0,0,2
7,9,2,3,0,110,1,0,2,7,7,26,31,0,0,1
3,1,2,3,0,110,0,0,2,8,5,27,32,1,0,3
5,7,2,0,1,110,0,0,1,10,1,28,33,0,0,0
8,1,2,3,0,110,1,0,2,11,10,29,34,1,0,3
9,10,2,2,0,110,1,0,0,22,3,30,35,0,0,3
5,3,0,2,1,110,1,1,0,27,8,31,36,0,1,3
9,1,0,0,0,110,0,1,1,30,9,32,37,1,0,1
2,7,2,0,1,110,0,1,1,6,6,33,38,0,1,0
5,10,2,2,1,110,1,1,0,18,1,34,39,1,1,3
9,0,2,1,1,110,1,1,0,20,5,35,41,1,1,1
4,6,1,2,0,110,0,1,2,30,7,36,43,0,1,1
6,10,1,2,0,110,1,0,1,30,7,37,44,0,1,0
9,8,1,2,1,110,1,0,2,7,4,38,46,0,1,3
2,5,0,3,1,110,1,1,1,16,9,39,50,0,0,0
9,10,2,2,1,110,0,0,1,12,8,40,51,1,0,0
2,10,1,3,1,110,1,1,2,29,8,41,55,1,1,2
7,6,1,2,1,110,0,0,0,26,0,42,58,0,1,1
7,0,1,1,0,110,0,1,0,16,10,43,63,0,1,0
7,8,2,1,1,110,1,0,2,20,9,44,1,1,0,0
6,2,0,0,1,110,1,0,1,31,10,45,2,0,1,1
9,3,0,1,1,110,1,1,2,18,7,46,3,0,0,1
4,6,1,3,1,110,0,1,2,26,6,47,4,0,1,0
7,0,0,2,1,110,0,0,1,8,8,48,51,1,1,1
1,11,1,1,0,110,0,0,0,31,0,49,58,0,1,1
9,0,1,3,0,110,0,0,0,21,9,50,10,1,0,0
7,9,1,3,1,110,1,0,1,8,11,51,51,1,0,2
1,8,2,1,1,110,1,1,1,22,0,52,16,0,1,3
9,2,1,1,0,110,0,0,1,28,4,53,63,0,1,1
1,0,0,2,0,110,0,1,1,9,10,54,15,1,0,0
8,9,0,0,1,110,0,1,1,26,2,55,39,0,0,1
3,5,1,2,1,110,0,0,0,24,10,56,22,1,1,1
8,8,2,2,1,110,1,0,0,5,6,57,41,1,1,3
6,9,0,1,1,110,0,1,2,7,10,58,24,1,1,0
9,1,1,0,1,110,0,0,0,20,6,59,25,0,1,2
9,2,1,3,0,110,0,0,2,19,8,60,2,1,0,2
9,2,0,1,1,110,0,0,2,6,5,61,21,1,0,0
4,11,1,2,1,110,1,0,1,1,1,62,16,0,1,2
6,9,0,0,1,110,1,1,0,11,10,63,20,1,0,0
4,8,0,2,0,110,0,1,2,9,11,64,6,0,1,3
7,8,1,2,1,110,1,0,0,15,7,65,28,0,0,3
4,3,1,3,0,110,1,1,1,29,2,66,19,0,1,3
5,3,0,2,0,110,0,0,0,28,4,67,28,1,1,1
5,3,0,2,0,110,0,0,0,6,6,68,44,1,1,2
1,0,2,0,0,110,1,0,2,4,4,69,16,0,1,3
9,6,2,2,0,110,1,0,0,16,7,70,18,1,0,0
6,0,0,0,0,110,1,1,2,26,9,71,39,1,1,3
5,9,2,3,0,110,1,0,2,21,9,72,4,0,0,1
9,6,2,0,1,110,1,1,0,19,3,73,7,1,1,0
7,8,0,3,1,110,0,0,0,6,3,74,12,1,1,3
1,10,0,1,0,110,1,0,2,17,11,75,26,1,0,1
9,0,1,1,1,110,1,0,2,30,8,76,16,0,1,1
4,9,0,2,0,110,1,0,2,9,1,77,11,1,1,1
6,0,1,1,0,110,0,1,2,2,9,78,4,0,0,3
4,7,2,1,1,110,1,1,2,1,7,79,1,1,1,0
7,7,1,3,1,110,0,1,0,28,10,80,24,0,0,0
9,11,0,3,0,110,0,1,0,31,4,81,5,1,0,2
8,4,1,2,0,110,1,0,2,18,11,82,32,0,1,2
6,5,0,1,1,110,0,1,2,14,5,83,39,0,1,1
6,4,2,3,1,110,0,1,0,17,2,84,44,1,1,0
8,11,2,2,0,110,0,1,0,20,11,85,18,0,1,1
2,6,0,2,1,110,0,0,2,3,4,86,23,0,0,2
8,3,2,1,1,110,1,1,1,5,8,87,9,0,1,0
9,2,1,3,0,110,0,0,2,26,2,88,24,0,0,0
2,8,0,1,0,110,1,0,1,31,0,89,33,0,1,0
7,7,2,1,1,110,1,1,0,17,11,90,32,1,0,2
1,1,0,0,1,110,0,0,1,11,4,91,37,0,1,3
3,3,0,2,0,110,0,1,2,15,0,92,2,0,0,1
9,6,0,1,0,110,0,1,0,26,5,93,1,0,0,0
9,8,0,3,0,110,0,1,0,5,3,94,43,1,0,0
9,11,0,2,1,110,0,0,2,6,1,95,15,0,1,2
8,1,1,2,0,110,0,0,2,15,8,96,12,0,1,2
1,3,1,2,1,110,1,1,0,4,4,97,6,1,0,1
5,8,1,1,1,110,0,1,0,19,9,98,50,0,0,2
6,5,2,0,0,110,0,0,2,3,3,99,9,1,0,2
9,4,2,3,1,111,1,0,1,24,6,0,5,1,0,3
2,10,0,2,0,111,0,1,2,25,9,1,6,0,1,1
6,11,1,0,0,111,0,1,0,26,10,2,7,0,1,2
7,0,2,1,0,111,0,0,2,28,11,3,8,1,0,0
8,2,1,1,0,111,1,0,1,30,0,4,9,0,0,0
1,3,1,3,1,111,0,0,0,1,3,5,10,0,1,1
4,5,0,3,0,111,0,0,1,2,5,6,11,0,0,1
